route_id,station_code,date,departure_time_utc,route_score,total_travel_duration,total_service_time_duration,ERD_seconds,ERD_hours,num_stops_x,num_stops_y,num_stops,total_packages,packages_per_stop,avg_service_time,capacity_m3
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DLA3,2018-07-27,16:02:10,High,7754.1,12940.9,20695.0,5.748611111111111,119,119,119,276,2.319327731092437,46.88731884057971,3.313071
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DSE4,2018-07-28,15:44:41,High,6647.8,18623.8,25271.6,7.019888888888889,106,106,106,199,1.8773584905660377,93.58693467336683,4.247527
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DSE5,2018-08-18,15:32:04,High,9897.4,18951.1,28848.5,8.013472222222223,128,128,128,212,1.65625,89.39198113207547,4.247527
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DLA9,2018-08-15,15:09:38,High,9491.5,15476.3,24967.8,6.9355,142,142,142,241,1.6971830985915493,64.21701244813278,3.313071
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DLA7,2018-08-05,14:23:26,High,13523.7,14729.7,28253.4,7.848166666666667,155,155,155,219,1.4129032258064516,67.25890410958904,3.313071
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DCH4,2018-08-02,15:29:32,High,12316.9,19396.5,31713.4,8.809277777777778,190,190,190,276,1.4526315789473685,70.27717391304348,4.247527
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DBO2,2018-08-01,13:54:08,Medium,14361.5,10852.0,25213.5,7.00375,161,161,161,216,1.3416149068322982,50.24074074074074,3.313071
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DBO3,2018-08-13,11:23:24,Medium,14715.5,15277.2,29992.7,8.331305555555556,155,155,155,196,1.264516129032258,77.94489795918368,4.247527
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DSE5,2018-08-04,15:00:44,Medium,11839.6,19382.1,31221.699999999997,8.672694444444444,177,177,177,268,1.5141242937853108,72.32126865671641,3.313071
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DLA3,2018-08-07,15:30:00,High,4394.7,16725.6,21120.3,5.86675,59,59,59,211,3.5762711864406778,79.26824644549762,3.313071
